City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Hobart,AU,79.27,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
2,Rikitea,PF,77.43,light rain,-23.1203,-134.9692,People ThankYou
7,Cape Town,ZA,79.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
11,New Norfolk,AU,78.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
12,Arraial Do Cabo,BR,73.11,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
17,Kapaa,US,73.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Port Alfred,ZA,70.18,scattered clouds,-33.5906,26.891,The Halyards Hotel & Spa
21,East London,ZA,74.34,clear sky,-33.0153,27.9116,Tu Casa
23,Atuona,PF,78.8,clear sky,-9.8,-139.0333,Villa Enata
24,Hermanus,ZA,73.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
26,Bredasdorp,ZA,70.18,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
29,Puerto Ayora,EC,72.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Rio Grande,BR,74.95,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
42,Taltal,CL,64.13,scattered clouds,-25.4,-70.4833,Residencial Karime
47,Makakilo City,US,74.01,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
50,Sao Filipe,CV,74.66,overcast clouds,14.8961,-24.4956,Hotel Xaguate
52,Fernandina Beach,US,60.01,clear sky,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
53,Myitkyina,MM,77.27,clear sky,25.3833,97.4,Shwe Phyu Hotel
58,Abu Zabad,SD,64.08,clear sky,12.35,29.25,حامد محمد نور
59,Esperance,AU,67.73,few clouds,-33.8667,121.9,Hospitality Esperance
62,Luanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
63,Estelle,US,70.0,fog,29.8458,-90.1067,Ohio
64,Los Llanos De Aridane,ES,62.35,scattered clouds,28.6585,-17.9182,Valle Aridane
65,Rocha,UY,67.82,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
71,Bathsheba,BB,77.61,light rain,13.2167,-59.5167,Atlantis Hotel
75,Huarmey,PE,69.51,overcast clouds,-10.0681,-78.1522,Hotel Miramar
76,Mataura,NZ,70.9,overcast clouds,-46.1927,168.8643,Ellie's Villa
78,Saldanha,ZA,68.72,clear sky,-33.0117,17.9442,Blue Bay Lodge
81,Nishihara,JP,65.86,broken clouds,26.1842,127.7558,Minshuku Agaihama
82,Abu Dhabi,AE,73.96,few clouds,24.4667,54.3667,Beach Rotana
88,Bluff,NZ,61.79,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
90,Kaitangata,NZ,63.95,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
93,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
96,Vaini,TO,79.38,moderate rain,-21.2,-175.2,Keleti Beach Resort
97,The Valley,AI,78.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
104,Longyan,CN,65.39,scattered clouds,25.1072,117.0225,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
112,Mapiripan,CO,75.04,broken clouds,2.8892,-72.1256,Monserrate
117,Nouadhibou,MR,67.98,clear sky,20.931,-17.0347,El Medina
122,Victoria,HK,69.96,overcast clouds,22.2855,114.1577,Mini Central
123,Jacareacanga,BR,70.54,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
124,Siguiri,GN,65.3,scattered clouds,11.6667,-9.5,
131,Ngama,TD,62.46,clear sky,11.7833,17.1667,
132,Sao Gabriel Da Cachoeira,BR,71.1,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
134,Santa Cruz De La Palma,ES,66.34,broken clouds,28.6835,-17.7642,H10 Taburiente Playa
135,Ulladulla,AU,76.98,moderate rain,-35.35,150.4667,Sandpiper Motel
139,Hervey Bay,AU,77.59,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
142,Omboue,GA,77.27,overcast clouds,-1.5746,9.2618,Hotel Olako
143,Port Elizabeth,ZA,78.1,few clouds,-33.918,25.5701,39 On Nile Guest House
144,Sola,VU,77.67,overcast clouds,-13.8833,167.55,Leumerus Bungalows
145,Codrington,AU,67.69,few clouds,-38.2667,141.9667,
146,Morgan City,US,70.02,overcast clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
148,Asosa,ET,68.38,broken clouds,10.0667,34.5333,Blendana Hotel Assosa
158,Bryan,US,71.35,overcast clouds,30.6744,-96.37,Best Western Premier Bryan College Station
160,Foso,GH,66.51,few clouds,5.7012,-1.2866,Pristina Cottage
162,Wellington,NZ,71.58,broken clouds,-41.2866,174.7756,CityLife Wellington
163,San Patricio,US,72.18,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
169,Chimore,BO,72.82,very heavy rain,-16.9833,-65.1333,Bichito
170,Airai,TL,70.52,broken clouds,-8.9266,125.4092,
173,Ponta Do Sol,PT,62.71,overcast clouds,32.6667,-17.1,Hotel do Campo
178,Kabinda,CD,68.56,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
179,Searcy,US,62.98,mist,35.2506,-91.7363,"Holiday Inn Express & Suites Searcy, an IHG Hotel"
185,Loanda,AO,78.8,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
187,Mar Del Plata,AR,64.09,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
190,Escarcega,MX,73.24,overcast clouds,18.6089,-90.7454,Hotel Maria Isabel
192,Te Anau,NZ,68.7,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
197,Mecca,SA,73.06,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
201,Moindou,NC,79.79,scattered clouds,-21.6924,165.677,Equi-lodge de Moindou
206,Guarapari,BR,73.89,light rain,-20.6667,-40.4975,Hotel Porto do Sol
207,Chuy,UY,71.58,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
208,Tura,IN,72.3,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
211,Rawson,AR,64.69,clear sky,-43.3002,-65.1023,Hosteria Sampedro
218,Macaubas,BR,64.17,broken clouds,-13.0194,-42.6986,Hotel Portal
220,Lucapa,AO,66.6,overcast clouds,-8.4192,20.7447,Lírio Mendes
222,Maraa,BR,71.64,light rain,-1.8333,-65.3667,
226,Porto Belo,BR,76.15,scattered clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
229,Sumbawanga,TZ,62.85,overcast clouds,-7.9667,31.6167,Matamba II Guest House
231,Buctzotz,MX,69.26,scattered clouds,21.2,-88.7833,Buctoztz
232,Valparai,IN,73.67,overcast clouds,10.3667,76.9667,Hotel Holiday Break
233,Tabou,CI,74.19,clear sky,4.423,-7.3528,hotêl doufoulougou
239,Sao Geraldo Do Araguaia,BR,71.92,broken clouds,-6.4006,-48.555,Hotel Por do Sol
241,Sur,OM,75.9,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
244,Obo,CF,76.33,few clouds,5.3998,26.4869,
