,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,50.6789,156.125,26.11,93,100,27.63,snow
1,Hobart,AU,-42.8794,147.3294,79.27,82,75,19.57,broken clouds
2,Rikitea,PF,-23.1203,-134.9692,77.43,76,100,9.86,light rain
3,Busselton,AU,-33.65,115.3333,82.22,35,0,3.96,clear sky
4,Jamestown,US,42.097,-79.2353,41.02,74,100,5.75,mist
5,Longyearbyen,SJ,78.2186,15.6401,30.04,80,75,28.77,broken clouds
6,Santa Rosalia,MX,27.3167,-112.2833,59.41,79,46,10.51,scattered clouds
7,Cape Town,ZA,-33.9258,18.4232,79.11,56,0,5.01,clear sky
8,Peterhead,GB,57.5058,-1.7981,34.2,77,75,16.91,broken clouds
9,Pangkalanbuun,ID,-2.6833,111.6167,91.83,43,100,6.6,overcast clouds
10,Ushuaia,AR,-54.8,-68.3,44.26,81,75,17.27,moderate rain
11,New Norfolk,AU,-42.7826,147.0587,78.91,35,99,4.0,overcast clouds
12,Arraial Do Cabo,BR,-22.9661,-42.0278,73.11,90,52,20.04,broken clouds
13,Saskylakh,RU,71.9167,114.0833,-7.62,99,99,3.18,overcast clouds
14,Upernavik,GL,72.7868,-56.1549,-17.34,84,83,4.32,broken clouds
15,Ulaanbaatar,MN,47.9077,106.8832,-12.87,70,10,4.47,smoke
16,Povolzhskiy,RU,53.5854,49.7629,35.22,99,100,13.96,snow
17,Kapaa,US,22.0752,-159.319,73.38,89,20,4.61,few clouds
18,Port Alfred,ZA,-33.5906,26.891,70.18,84,32,4.0,scattered clouds
19,Gazojak,TM,41.1875,61.4036,38.26,77,62,13.0,broken clouds
20,Pevek,RU,69.7008,170.3133,-35.86,100,99,4.47,overcast clouds
21,East London,ZA,-33.0153,27.9116,74.34,73,0,12.66,clear sky
22,Chapais,CA,49.7834,-74.8492,17.38,98,97,2.53,overcast clouds
23,Atuona,PF,-9.8,-139.0333,78.8,76,8,20.18,clear sky
24,Hermanus,ZA,-34.4187,19.2345,73.8,74,7,17.18,clear sky
25,Domoni,KM,-12.2569,44.5319,83.98,67,58,3.22,broken clouds
26,Bredasdorp,ZA,-34.5322,20.0403,70.18,74,37,16.26,scattered clouds
27,Karasuyama,JP,36.65,140.15,41.63,40,34,13.4,scattered clouds
28,Norman Wells,CA,65.282,-126.8329,5.04,78,75,12.66,broken clouds
29,Puerto Ayora,EC,-0.7393,-90.3518,72.55,97,14,6.96,few clouds
30,Merauke,ID,-8.4667,140.3333,87.37,63,97,5.82,overcast clouds
31,Khatanga,RU,71.9667,102.5,-11.9,96,100,11.07,overcast clouds
32,Zhigansk,RU,66.7697,123.3711,-35.75,100,28,6.02,scattered clouds
33,Zyryanka,RU,65.75,150.85,-38.56,96,66,7.18,broken clouds
34,Coihaique,CL,-45.5752,-72.0662,50.61,76,100,5.75,light rain
